gid,entity_nam,reference1,gmrotation,lat,long,province
20698556,Kleinplasie,3017DB_5,0,-30.52834,17.99062,Northern Cape
20698557,Bloukrans,3017DB_10,0,-30.5929,17.96189,Northern Cape
20698558,Skuinskraal,3017DB_9,0,-30.55128,17.935,Northern Cape
20698559,Drieklip,3017DB_9,0,-30.56466,17.91755,Northern Cape
20698560,Koringhoek,3017DB_9,0,-30.59217,17.92015,Northern Cape
20698561,Olyfboomdam,2917DD_2,0,-29.7842,17.8084,Northern Cape
20698562,Krymekaar,2917DD_2,0,-29.76961,17.84798,Northern Cape
20698563,Drodap,2917DD_4,0,-29.78909,17.94669,Northern Cape
20698564,Drodap,2917DD_5,0,-29.79638,17.95266,Northern Cape
20698565,Waterhoek,2917DD_5,0,-29.78733,17.96839,Northern Cape
20698566,Waterhoek,2917DD_5,0,-29.76311,17.9956,Northern Cape
20698942,Ventersvlei,3024BD_6,0,-30.33446,24.77076,Northern Cape
20698943,Loskop,3024CA_2,0,-30.53104,24.07676,Northern Cape
20698944,Tafelkop,3024CA_3,0,-30.50988,24.1278,Northern Cape
20698945,Welgegund,3024CA_5,0,-30.50202,24.21088,Northern Cape
20698946,Pienaarskloof,3024CA_5,0,-30.52554,24.2455,Northern Cape
20698947,Poortjie,3024CA_10,0,-30.57624,24.22042,Northern Cape
20698948,Matjiesfontein,3024CA_10,0,-30.59373,24.21176,Northern Cape
20698949,Jakkalsfontein,3024CA_9,0,-30.56238,24.15311,Northern Cape
20698950,Paardevlei,3024CA_7,0,-30.58465,24.05985,Northern Cape
20698951,Rusoord,3024CA_20,0,-30.67622,24.22625,Northern Cape
20698952,Plessisdam,3024CA_12,0,-30.61461,24.0582,Northern Cape
20698953,Grasbult,3024CA_11,0,-30.64489,24.04153,Northern Cape
20698954,Ebenezer,3024CA_12,0,-30.64977,24.07611,Northern Cape
20698955,Lochinvar,3024CA_17,0,-30.65314,24.06194,Northern Cape
20698956,Merino,3024CA_13,0,-30.63423,24.13325,Northern Cape
20698957,Caroluspoort,3024CA_13,0,-30.6359,24.13424,Northern Cape
20698958,Slingershoek,3024CA_15,0,-30.60596,24.23874,Northern Cape
20698959,Maritzrus,3024CA_16,0,-30.66252,24.03557,Northern Cape
20698960,Bellary,3024CA_16,0,-30.66482,24.03738,Northern Cape
20698961,Meersgeluk,3024CA_16,0,-30.68417,24.01818,Northern Cape
20698962,Magnolia,3024CA_16,0,-30.68747,24.0119,Northern Cape
20698963,Eldorado,3024CA_21,0,-30.70109,24.01412,Northern Cape
20698964,Grasbult,3024CA_17,0,-30.6546,24.05041,Northern Cape
20698965,Badenhorstdam,3024CA_16,0,-30.69822,24.04839,Northern Cape
20698966,Vetlaagte,3024CA_18,0,-30.67174,24.10258,Northern Cape
20698167,Bokskraal,3017BA_24,0,-30.2044,17.69892,Northern Cape
20698168,Brakputs,3017BA_25,0,-30.24063,17.7064,Northern Cape
20698169,Vaalhoek,3017BA_25,0,-30.21048,17.74775,Northern Cape
20698170,Rietmond,3017BB_1,0,-30.00634,17.79656,Northern Cape
20698171,Blousyfer,3017BB_2,0,-30.00891,17.82186,Northern Cape
20698172,Die Plaat,3017BB_3,0,-30.0346,17.85953,Northern Cape
20698173,Rondekop,3017BB_3,0,-30.04465,17.85259,Northern Cape
20698174,Noeheep Oos,3017BB_5,0,-30.04474,17.95382,Northern Cape
20698175,Bloupoort,3017BB_5,0,-30.01466,17.96037,Northern Cape
20698176,Theunis se Dam,3017BB_5,0,-30.01358,17.97579,Northern Cape
20698177,Noeheep Wes,3017BB_5,0,-30.04401,17.95072,Northern Cape
20698178,Kersbosfontein,3017BB_5,0,-30.04635,17.98578,Northern Cape
20698179,Brakputs,3017BB_9,0,-30.05824,17.9327,Northern Cape
20698180,Osplaat,3017BB_10,0,-30.07124,17.99899,Northern Cape
20698181,Brakwater,3017BB_9,0,-30.07392,17.93758,Northern Cape
20698182,Kraairivier,3017BB_8,0,-30.07326,17.89689,Northern Cape
20698183,Kraairiviersgat,3017BB_8,0,-30.07405,17.88189,Northern Cape
20698184,Witwelle,3017BB_8,0,-30.09234,17.86616,Northern Cape
20698185,Kanariesfontein,3017BB_6,0,-30.06341,17.75259,Northern Cape
20698186,Aronegas,3017BB_6,0,-30.09807,17.77731,Northern Cape
20698187,Haasrvier,3017BB_13,0,-30.14889,17.88096,Northern Cape
20698188,Groot Gaas,3017BB_20,0,-30.17707,17.95665,Northern Cape
20698189,Arkoep,3017BB_14,0,-30.10268,17.91468,Northern Cape
20698190,Arkoep,3017BB_14,0,-30.13594,17.93185,Northern Cape
20698567,Speelhoek,2917DD_10,0,-29.83616,17.96105,Northern Cape
20698568,Drodap,2917DD_9,0,-29.82067,17.94784,Northern Cape
20698569,Namaras,2917DD_9,0,-29.83253,17.91054,Northern Cape
20698570,Taaiboskraal,2917DD_2,0,-29.78424,17.80631,Northern Cape
20698571,Oukloof,2917DD_4,0,-29.79963,17.90224,Northern Cape
20698572,Uitkoms,2917DD_10,0,-29.80277,17.95597,Northern Cape
20698573,Melkrivier,2917DD_9,0,-29.84332,17.92848,Northern Cape
20698574,Klein Brakfontein,3017DB_8,0,-30.57336,17.89665,Northern Cape
20698575,Outiep,3017DB_8,0,-30.59473,17.85201,Northern Cape
20698576,Modderkraal,3017DB_8,0,-30.56189,17.85625,Northern Cape
20698577,Modderkraal,3017DB_8,0,-30.5539,17.85203,Northern Cape
20698578,Deurdrift,2917DD_4,0,-29.77391,17.94804,Northern Cape
20698579,Deurdrift,2917DD_4,0,-29.76387,17.94193,Northern Cape
20698580,Waterklip,2917DD_8,0,-29.8496,17.89355,Northern Cape
20698581,Nuweputs,2917DD_6,0,-29.81898,17.78175,Northern Cape
20698582,Op die Berg,3017DB_7,0,-30.55858,17.82048,Northern Cape
20698583,Baievlei,3017DB_7,0,-30.58066,17.80381,Northern Cape
20698584,Brandhoek,3017DB_7,0,-30.59114,17.83124,Northern Cape
20698585,Baievlei,3017DB_6,0,-30.5642,17.79865,Northern Cape
20698586,Groot Brakfontein,3017DB_17,0,-30.6987,17.83905,Northern Cape
20698587,Aanloop,3017DB_17,0,-30.65992,17.80097,Northern Cape
20698588,Dikdoring,3017DB_25,0,-30.71308,17.96948,Northern Cape
20698589,Rooiberg,3017DB_11,0,-30.61995,17.79453,Northern Cape
20698590,Bruinkop,3017DB_6,0,-30.56116,17.75877,Northern Cape
20698591,Matjieskloof,2917DD_6,0,-29.84742,17.79608,Northern Cape
20698967,Bloemhof,3024CA_25,0,-30.70385,24.23097,Northern Cape
20698968,Riet,3024CC_4,0,-30.75035,24.17843,Northern Cape
20698969,Wag-'n-bietjie,3024CA_23,0,-30.71038,24.12113,Northern Cape
20698970,Bletterman,3024CA_22,0,-30.70771,24.07721,Northern Cape
